"Permalink,""Name"",""Description"",""Meta Title"",""Meta Description"",""Width"",""Length"",""Height"",""Brand"",""Barcode"",""Categories"",""Images"",""Digital"",""Featured"",""Status"",""SKU"",""Weight"",""Stock"",""Stock Unlimited"",""Price"",""Variant Image"",""Variant 1 Option Name"",""Variant 1 Option Type"",""Variant 1 Option Value"",""Google Product Category"""
"papa,""Papa"","""",""Papa"","""",""0.0"",""0.0"",""0.0"",""1 Kg."","""",""Verduras"",""https://images.jumpseller.com/store/veyi1/4977650/Papa.jpg?1587570072"",""NO"",""YES"",""available"",""PAP001"",""1.0"",""100"",""YES"",""1000.0"","""","""","""","""","""","""","""","""""
"pasas-negras,""Pasas Negras"","""",""Pasas Negras"","""",""0.0"",""0.0"",""0.0"",""250 grs."","""",""Frutos Secos"",""https://images.jumpseller.com/store/veyi1/4977651/Pasas-negras.jpg?1587570073"",""NO"",""NO"",""available"",""PAS001"",""0.25"",""100"",""YES"",""1490.0"","""","""","""","""","""","""","""","""""
"pasas-rubias,""Pasas Rubias"","""",""Pasas Rubias"","""",""0.0"",""0.0"",""0.0"",""250 grs."","""",""Frutos Secos"",""https://images.jumpseller.com/store/veyi1/4977652/Pasas-rubias.jpg?1587570075"",""NO"",""NO"",""available"",""PAS002"",""0.25"",""100"",""YES"",""1990.0"","""","""","""","""","""","""","""","""""
"pepino,""Pepino"","""",""Pepino"","""",""0.0"",""0.0"",""0.0"",""1 unid."","""",""Verduras"",""https://images.jumpseller.com/store/veyi1/4977653/Pepino.jpg?1587749518"",""NO"",""YES"",""available"",""PEP001"",""1.0"",""100"",""YES"",""550.0"","""","""","""","""","""","""","""","""""
"pera-verde,""Pera Verde"","""",""Pera Verde"","""",""0.0"",""0.0"",""0.0"",""1 Kg."","""",""Frutas"",""https://images.jumpseller.com/store/veyi1/4977654/Pera_verde.jpg?1587559947"",""NO"",""NO"",""available"",""PEP002"",""1.0"",""100"",""YES"",""1990.0"","""","""","""","""","""","""","""","""""
"perejil,""Perejil"","""",""Perejil"","""",""0.0"",""0.0"",""0.0"",""1 Atado (Aprox. 180 grs.)"","""",""Verduras"",""https://images.jumpseller.com/store/veyi1/4977655/Perejil.jpg?1587559959"",""NO"",""NO"",""available"",""PER002"",""1.0"",""100"",""YES"",""650.0"","""","""","""","""","""","""","""","""""
"pimenton-rojo,""Pimentón Rojo"","""",""Pimentón Rojo"","""",""0.0"",""0.0"",""0.0"",""1 unid."","""",""Verduras"",""https://images.jumpseller.com/store/veyi1/4977656/Pimenton-rojo.jpg?1587559967"",""NO"",""NO"",""available"",""PIM001"",""1.0"",""100"",""YES"",""800.0"","""","""","""","""","""","""","""","""""
"pimenton-amarillo,""Pimentón Amarillo"","""",""Pimentón Amarillo"","""",""0.0"",""0.0"",""0.0"",""1 unid."","""",""Verduras"",""https://images.jumpseller.com/store/veyi1/4977657/Pimenton-amarillo.jpg?1587560011"",""NO"",""NO"",""available"",""PIM002"",""1.0"",""100"",""YES"",""1000.0"","""","""","""","""","""","""","""","""""
"pimenton-verde,""Pimentón Verde"","""",""Pimentón Verde"","""",""0.0"",""0.0"",""0.0"",""1 unid."","""",""Verduras"",""https://images.jumpseller.com/store/veyi1/4977658/Pimenton-verde.jpg?1587560023"",""NO"",""YES"",""available"",""PIM003"",""1.0"",""100"",""YES"",""800.0"","""","""","""","""","""","""","""","""""
"pina,""Piña"","""",""Piña"","""",""0.0"",""0.0"",""0.0"",""1 unid."","""",""Frutas"",""https://images.jumpseller.com/store/veyi1/4977659/Pi_a.jpg?1587560033"",""NO"",""NO"",""available"",""PIN001"",""1.0"",""100"",""YES"",""1950.0"","""","""","""","""","""","""","""","""""
